"pmuri","pm","partyname","partynameenglish","electiondate","position"
"http://dbpedia.org/resource/H._H._Asquith","The Earl of Oxford and Asquith","Liberal Party",,1910-12-19,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Bonar_Law","Bonar Law",,"Conservative Party",1918-12-14,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Bonar_Law","Law, Andrew Bonar",,"Conservative Party",1918-12-14,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Bonar_Law","Bonar Law",,"Conservative Party",1922-11-15,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Bonar_Law","Law, Andrew Bonar",,"Conservative Party",1922-11-15,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Stanley_Baldwin","Baldwin, Stanley",,"Conservative Party",1923-12-06,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Stanley_Baldwin","The Earl Baldwin of Bewdley",,"Conservative Party",1923-12-06,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Stanley_Baldwin","Baldwin, Stanley",,"Conservative Party",1924-10-29,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Stanley_Baldwin","The Earl Baldwin of Bewdley",,"Conservative Party",1924-10-29,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Ramsay_MacDonald","Macdonald, Ramsay","Labour Party",,1929-05-30,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Ramsay_MacDonald","James Ramsay Macdonald","Labour Party",,1929-05-30,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Stanley_Baldwin","Baldwin, Stanley",,"Conservative Party",1931-10-27,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Stanley_Baldwin","The Earl Baldwin of Bewdley",,"Conservative Party",1931-10-27,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Stanley_Baldwin","Baldwin, Stanley",,"Conservative Party",1935-11-14,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Stanley_Baldwin","The Earl Baldwin of Bewdley",,"Conservative Party",1935-11-14,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Clement_Attlee","The Earl Attlee","Labour Party",,1945-07-05,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Clement_Attlee","Attlee, Clement","Labour Party",,1945-07-05,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Clement_Attlee","The Earl Attlee","Labour Party",,1950-02-23,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Clement_Attlee","Attlee, Clement","Labour Party",,1950-02-23,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Winston_Churchill","Sir Winston Churchill","Liberal Party",,1951-10-25,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Winston_Churchill","Sir Winston Churchill","Liberal Party",,1951-10-25,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Winston_Churchill","Churchill, Winston","Liberal Party",,1951-10-25,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Winston_Churchill","Churchill, Winston","Liberal Party",,1951-10-25,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Winston_Churchill","Sir Winston Churchill",,"Conservative Party",1951-10-25,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Winston_Churchill","Churchill, Winston",,"Conservative Party",1951-10-25,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Anthony_Eden","Eden, Anthony",,"Conservative Party",1955-05-26,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Anthony_Eden","The Earl of Avon",,"Conservative Party",1955-05-26,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Harold_Macmillan","The Earl of Stockton",,"Conservative Party",1959-10-08,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Harold_Macmillan","Macmillan, Harold",,"Conservative Party",1959-10-08,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Harold_Wilson","Wilson, James Harold, Baron Wilson of Rievaulx","Labour Party",,1964-10-15,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Harold_Wilson","The Lord Wilson of Rievaulx","Labour Party",,1964-10-15,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Harold_Wilson","Wilson, James Harold, Baron Wilson of Rievaulx","Labour Party",,1966-03-31,"http://dbpedia.org/resource/Centre-left"
